trial,val_accuracy,inference_ms,n_params,n_conv_layers,conv_ch_0,conv_ch_1,n_fc_layers,fc_units,dropout,lr,batch_size,epochs,optimizer,input_resolution,conv_ch_2
18,0.8933333333333333,1.595627522468567,124426,3,128,32.0,2,256,0.0,0.0009746318720288899,512,8,Adam,20,32.0
17,0.892,1.5483142352104187,188426,3,64,128.0,2,256,0.2,0.0031749883464243815,1024,6,Adam,14,32.0
44,0.8886666666666667,1.5250598406791687,356970,3,32,64.0,2,512,0.2,0.002381248902493667,1024,7,Adam,14,64.0
23,0.8701666666666666,1.3615750408172607,50506,3,64,32.0,1,512,0.5,0.0012908132395505268,512,4,Adam,14,32.0
9,0.8453333333333334,1.1025811195373536,24714,2,64,32.0,1,128,0.0,0.002123261760236048,1024,7,Adam,14,
20,0.8041666666666667,0.6670393598079681,57322,2,32,64.0,1,512,0.30000000000000004,0.008401272991858843,1024,4,Adam,14,
39,0.662,1.5369241631031036,10314,1,64,,1,128,0.0,0.0027036125745955072,256,4,Adam,20,
19,0.6248333333333334,0.9943417632579803,26826,1,64,,2,128,0.5,0.0005604560885506443,1024,8,Adam,20,
32,0.595,0.9677574408054351,19210,1,128,,1,128,0.0,0.0042574488648386855,256,8,SGD,28,
28,0.5946666666666667,0.480531200170517,19210,1,128,,1,128,0.4,0.0009928517322283855,1024,7,Adam,28,
46,0.4435,1.4958924806118012,10314,1,64,,1,128,0.4,0.00011858104395381526,256,3,Adam,14,
